Marc Neveu - 13 Aug. 2015
This file lists the quantities output by PHREEQC simulations generated by IcyDwarf’s ParamExploration() subroutine in Outputs/ParamExploration.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column	Quantity
1037	d_Hydroxyapatite
1038	Hydrozincite
1039	d_Hydrozincite
1040	         Ice
1041	       d_Ice
1042	      Ikaite
1043	    d_Ikaite
1044	      Illite
1045	    d_Illite
1046	    Ilmenite
1047	  d_Ilmenite
1048	     Jadeite
1049	   d_Jadeite
1050	    Jarosite
1051	  d_Jarosite
1052	Jarosite-H3O
1053	d_Jarosite-H3O
1054	 Jarosite-Na
1055	d_Jarosite-Na
1056	           K
1057	         d_K
1058	  K-Feldspar
1059	d_K-Feldspar
1060	K2CO3:1.5H2O
1061	d_K2CO3:1.5H2O
1062	         K2O
1063	       d_K2O
1064	K2SO4:Al2(SO4)3:24H2O
1065	d_K2SO4:Al2(SO4)3:24H2O
1066	K2SO4:Cr2(SO4)3:24H2O
1067	d_K2SO4:Cr2(SO4)3:24H2O
1068	       K2UO4
1069	     d_K2UO4
1070	   K3H(SO4)2
1071	 d_K3H(SO4)2
1072	  K5H3(SO4)4
1073	d_K5H3(SO4)4
1074	K8H4(CO3)6:3H2O
1075	d_K8H4(CO3)6:3H2O
1076	     Kainite
1077	   d_Kainite
1078	   KAl(SO4)2
1079	 d_KAl(SO4)2
1080	  Kalicinite
1081	d_Kalicinite
1082	   Kalsilite
1083	 d_Kalsilite
1084	   Kaolinite
1085	 d_Kaolinite
1086	     Katoite
1087	   d_Katoite
1088	       KClO4
1089	     d_KClO4
1090	 KerogenC128
1091	d_KerogenC128
1092	 KerogenC292
1093	d_KerogenC292
1094	 KerogenC515
1095	d_KerogenC515
1096	   Kieserite
1097	 d_Kieserite
1098	      KMgCl3
1099	    d_KMgCl3
1100	 KMgCl3:2H2O
1101	d_KMgCl3:2H2O
1102	 KNaCO3:6H2O
1103	d_KNaCO3:6H2O
1104	   Kornelite
1105	 d_Kornelite
1106	Korshunovskite
