Marc Neveu - 23 April 2017
This file lists the quantities output by PHREEQC simulations in Outputs_xx_xx.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column		Quantity

0		Temperature (celsius)
1		Pressure (bar)
2		W:R by mass
3		Log fO2=FMQ±…

Initial speciated solution

4		pe(FMQ) at pH that balances charge
5		pH that balances charge at pe(output #6) ≠ pH that balances charge at pe(output #7)
6		pe of speciated solution at pH that balances charge (output #5)
7		pe of speciated solution at pH 7 = input pe at pH 7
446	        CrO3
447	      d_CrO3
448	Cronstedtite-7A
449	d_Cronstedtite-7A
450	         CrS
451	       d_CrS
452	          Cu
453	        d_Cu
454	       CuCl2
455	     d_CuCl2
456	     CuCr2O4
457	   d_CuCr2O4
458	     Cuprite
459	   d_Cuprite
460	Daphnite-14A
461	d_Daphnite-14A
462	 Daphnite-7A
463	d_Daphnite-7A
464	   Dawsonite
465	 d_Dawsonite
466	 Delafossite
467	d_Delafossite
468	    Diaspore
469	  d_Diaspore
470	Dicalcium_silicate
471	d_Dicalcium_silicate
472	    Diopside
473	  d_Diopside
474	    Dioptase
475	  d_Dioptase
476	    Dolomite
477	  d_Dolomite
478	Dolomite-dis
479	d_Dolomite-dis
480	Dolomite-ord
481	d_Dolomite-ord
482	   Enstatite
483	 d_Enstatite
484	     Epidote
485	   d_Epidote
486	 Epidote-ord
487	d_Epidote-ord
488	   Eskolaite
489	 d_Eskolaite
490	  Ettringite
491	d_Ettringite
492	          Eu
493	        d_Eu
494	     Eu(OH)3
495	   d_Eu(OH)3
496	Eu2(SO4)3:8H2O
497	d_Eu2(SO4)3:8H2O
498	Eu2O3(cubic)
499	d_Eu2O3(cubic)
500	Eu2O3(monoclinic)
501	d_Eu2O3(monoclinic)
502	       Eu3O4
503	     d_Eu3O4
504	       EuCl2
505	     d_EuCl2
506	       EuCl3
507	     d_EuCl3
508	  EuCl3:6H2O
509	d_EuCl3:6H2O
510	  Eucryptite
511	d_Eucryptite
512	       EuOCl
513	     d_EuOCl
514	         EuS
515	       d_EuS
516	       EuSO4
517	     d_EuSO4
518	    Fayalite
519	  d_Fayalite
520	          Fe
521	        d_Fe
522	     Fe(OH)2
523	   d_Fe(OH)2
524	     Fe(OH)3
525	   d_Fe(OH)3
526	   Fe2(SO4)3
527	 d_Fe2(SO4)3
528	         FeO
529	       d_FeO
530	  Ferrite-Ca
531	d_Ferrite-Ca
532	  Ferrite-Cu
533	d_Ferrite-Cu
534	Ferrite-Dicalcium
535	d_Ferrite-Dicalcium
536	  Ferrite-Mg
537	d_Ferrite-Mg
538	  Ferrite-Zn
539	d_Ferrite-Zn
540	 Ferrosilite
541	d_Ferrosilite
542	       FeSO4
543	     d_FeSO4
544	  Forsterite
545	d_Forsterite
546	   Foshagite
547	 d_Foshagite
548	          Gd
549	        d_Gd
550	   Gehlenite
551	 d_Gehlenite
552	    Gibbsite
553	  d_Gibbsite
554	    Goethite
555	  d_Goethite
556	  Greenalite
557	d_Greenalite
558	   Grossular
559	 d_Grossular
560	      Gypsum
561	    d_Gypsum
562	    Gyrolite
563	  d_Gyrolite
564	      Halite
565	    d_Halite
566	   Hatrurite
567	 d_Hatrurite
568	 Hausmannite
569	d_Hausmannite
570	Heazlewoodite
571	d_Heazlewoodite
572	Hedenbergite
573	d_Hedenbergite
574	    Hematite
575	  d_Hematite
576	   Hercynite
577	 d_Hercynite
578	Hillebrandite
579	d_Hillebrandite
580	     Huntite
581	   d_Huntite
582	Hydromagnesite
583	d_Hydromagnesite
584	Hydrophilite
585	d_Hydrophilite
